읍면동,구 이름,동 이름,전체평균연령,남자,여자,약국,여성 복지 시설수,학원수 (개),지역 문화 복지 시설,영화관,박물관,미술관,공연장,공원수,도서관 수,녹지 만족도(10점 평균),소음,대기오염,휴식공간 및 녹지부족,수질오염,범죄 폭력,길거리의 쓰레기방치,주차질서
1103070,용산구,보광동,48.7,46.0,51.3,122,2,151,8,3,6,5,14,107,4,6.31,61.9,58.0,69.9,67.4,62.9,57.6,51.5
1103071,용산구,청파동,44.5,44.5,44.5,122,2,151,8,3,6,5,14,107,4,6.31,61.9,58.0,69.9,67.4,62.9,57.6,51.5
1103072,용산구,원효로1동,40.7,40.7,40.7,122,2,151,8,3,6,5,14,107,4,6.31,61.9,58.0,69.9,67.4,62.9,57.6,51.5
1103073,용산구,한강로동,43.3,43.3,43.2,122,2,151,8,3,6,5,14,107,4,6.31,61.9,58.0,69.9,67.4,62.9,57.6,51.5
1103074,용산구,한남동,45.4,44.4,46.4,122,2,151,8,3,6,5,14,107,4,6.31,61.9,58.0,69.9,67.4,62.9,57.6,51.5
1104052,성동구,왕십리2동,44.0,43.3,44.7,150,0,294,13,2,3,2,10,100,7,6.41,66.9,56.9,67.0,69.3,66.5,62.8,51.2
1104054,성동구,마장동,44.8,43.9,45.6,150,0,294,13,2,3,2,10,100,7,6.41,66.9,56.9,67.0,69.3,66.5,62.8,51.2
1104055,성동구,사근동,38.4,37.3,39.6,150,0,294,13,2,3,2,10,100,7,6.41,66.9,56.9,67.0,69.3,66.5,62.8,51.2
1104056,성동구,행당1동,43.4,43.0,43.8,150,0,294,13,2,3,2,10,100,7,6.41,66.9,56.9,67.0,69.3,66.5,62.8,51.2
1104057,성동구,행당2동,44.5,43.9,45.1,150,0,294,13,2,3,2,10,100,7,6.41,66.9,56.9,67.0,69.3,66.5,62.8,51.2
1104058,성동구,응봉동,44.0,42.9,45.1,150,0,294,13,2,3,2,10,100,7,6.41,66.9,56.9,67.0,69.3,66.5,62.8,51.2
1104059,성동구,금호1가동,45.0,43.7,46.2,150,0,294,13,2,3,2,10,100,7,6.41,66.9,56.9,67.0,69.3,66.5,62.8,51.2
1104062,성동구,금호4가동,44.5,43.1,45.8,150,0,294,13,2,3,2,10,100,7,6.41,66.9,56.9,67.0,69.3,66.5,62.8,51.2
1104065,성동구,성수1가1동,44.4,43.8,45.0,150,0,294,13,2,3,2,10,100,7,6.41,66.9,56.9,67.0,69.3,66.5,62.8,51.2
1104066,성동구,성수1가2동,44.2,43.7,44.6,150,0,294,13,2,3,2,10,100,7,6.41,66.9,56.9,67.0,69.3,66.5,62.8,51.2
1104067,성동구,성수2가1동,47.3,46.8,47.9,150,0,294,13,2,3,2,10,100,7,6.41,66.9,56.9,67.0,69.3,66.5,62.8,51.2
1104068,성동구,성수2가3동,45.3,45.1,45.5,150,0,294,13,2,3,2,10,100,7,6.41,66.9,56.9,67.0,69.3,66.5,62.8,51.2
1104069,성동구,송정동,46.6,46.0,47.3,150,0,294,13,2,3,2,10,100,7,6.41,66.9,56.9,67.0,69.3,66.5,62.8,51.2
1104070,성동구,용답동,45.3,45.7,44.8,150,0,294,13,2,3,2,10,100,7,6.41,66.9,56.9,67.0,69.3,66.5,62.8,51.2
