읍면동,구 이름,동 이름,전체평균연령,남자,여자,약국,여성 복지 시설,교육 시설,문화 복지 시설,영화관,박물관,미술관,공연장,공원,도서관,녹지 분포,소음,대기청결도,휴식공간,수질오염,치안,깨끗한 길거리,주차질서
1123066,강남구,도곡1동,42.2,42.2,42.2,1.0,0.3333333333333333,1.0,0.5714285714285714,1.0,0.21212121212121213,0.2,0.24096385542168677,0.8333333333333333,1.0,1.0000000000000009,0.3250000000000002,0.04854368932038833,0.16483516483516425,0.2918454935622319,0.22676579925650575,0.6809815950920246,0.27333333333333343
1123067,강남구,도곡2동,42.1,42.5,41.8,1.0,0.3333333333333333,1.0,0.5714285714285714,1.0,0.21212121212121213,0.2,0.24096385542168677,0.8333333333333333,1.0,1.0000000000000009,0.3250000000000002,0.04854368932038833,0.16483516483516425,0.2918454935622319,0.22676579925650575,0.6809815950920246,0.27333333333333343
1123068,강남구,개포1동,44.5,44.6,44.4,1.0,0.3333333333333333,1.0,0.5714285714285714,1.0,0.21212121212121213,0.2,0.24096385542168677,0.8333333333333333,1.0,1.0000000000000009,0.3250000000000002,0.04854368932038833,0.16483516483516425,0.2918454935622319,0.22676579925650575,0.6809815950920246,0.27333333333333343
1123071,강남구,개포4동,43.0,42.4,43.5,1.0,0.3333333333333333,1.0,0.5714285714285714,1.0,0.21212121212121213,0.2,0.24096385542168677,0.8333333333333333,1.0,1.0000000000000009,0.3250000000000002,0.04854368932038833,0.16483516483516425,0.2918454935622319,0.22676579925650575,0.6809815950920246,0.27333333333333343
1123072,강남구,일원본동,41.7,40.0,43.4,1.0,0.3333333333333333,1.0,0.5714285714285714,1.0,0.21212121212121213,0.2,0.24096385542168677,0.8333333333333333,1.0,1.0000000000000009,0.3250000000000002,0.04854368932038833,0.16483516483516425,0.2918454935622319,0.22676579925650575,0.6809815950920246,0.27333333333333343
1123073,강남구,일원1동,47.4,45.7,48.9,1.0,0.3333333333333333,1.0,0.5714285714285714,1.0,0.21212121212121213,0.2,0.24096385542168677,0.8333333333333333,1.0,1.0000000000000009,0.3250000000000002,0.04854368932038833,0.16483516483516425,0.2918454935622319,0.22676579925650575,0.6809815950920246,0.27333333333333343
1123075,강남구,수서동,53.4,51.2,55.2,1.0,0.3333333333333333,1.0,0.5714285714285714,1.0,0.21212121212121213,0.2,0.24096385542168677,0.8333333333333333,1.0,1.0000000000000009,0.3250000000000002,0.04854368932038833,0.16483516483516425,0.2918454935622319,0.22676579925650575,0.6809815950920246,0.27333333333333343
1123076,강남구,세곡동,41.8,41.0,42.5,1.0,0.3333333333333333,1.0,0.5714285714285714,1.0,0.21212121212121213,0.2,0.24096385542168677,0.8333333333333333,1.0,1.0000000000000009,0.3250000000000002,0.04854368932038833,0.16483516483516425,0.2918454935622319,0.22676579925650575,0.6809815950920246,0.27333333333333343
1123077,강남구,압구정동,45.0,44.7,45.3,1.0,0.3333333333333333,1.0,0.5714285714285714,1.0,0.21212121212121213,0.2,0.24096385542168677,0.8333333333333333,1.0,1.0000000000000009,0.3250000000000002,0.04854368932038833,0.16483516483516425,0.2918454935622319,0.22676579925650575,0.6809815950920246,0.27333333333333343
1123078,강남구,청담동,43.0,42.1,43.8,1.0,0.3333333333333333,1.0,0.5714285714285714,1.0,0.21212121212121213,0.2,0.24096385542168677,0.8333333333333333,1.0,1.0000000000000009,0.3250000000000002,0.04854368932038833,0.16483516483516425,0.2918454935622319,0.22676579925650575,0.6809815950920246,0.27333333333333343
1123079,강남구,대치2동,41.5,40.1,43.0,1.0,0.3333333333333333,1.0,0.5714285714285714,1.0,0.21212121212121213,0.2,0.24096385542168677,0.8333333333333333,1.0,1.0000000000000009,0.3250000000000002,0.04854368932038833,0.16483516483516425,0.2918454935622319,0.22676579925650575,0.6809815950920246,0.27333333333333343
1123080,강남구,개포2동,40.3,40.0,40.7,1.0,0.3333333333333333,1.0,0.5714285714285714,1.0,0.21212121212121213,0.2,0.24096385542168677,0.8333333333333333,1.0,1.0000000000000009,0.3250000000000002,0.04854368932038833,0.16483516483516425,0.2918454935622319,0.22676579925650575,0.6809815950920246,0.27333333333333343
1124051,송파구,풍납1동,48.4,46.8,49.9,0.7108108108108109,0.3333333333333333,0.4188963210702341,0.5,0.3333333333333333,0.21212121212121213,0.1,0.07228915662650602,0.9015151515151514,0.7272727272727272,0.7931034482758621,0.31666666666666643,0.17475728155339798,0.15384615384615374,0.0,0.03345724907063197,0.4601226993865031,0.0
1124052,송파구,풍납2동,43.5,43.2,43.8,0.7108108108108109,0.3333333333333333,0.4188963210702341,0.5,0.3333333333333333,0.21212121212121213,0.1,0.07228915662650602,0.9015151515151514,0.7272727272727272,0.7931034482758621,0.31666666666666643,0.17475728155339798,0.15384615384615374,0.0,0.03345724907063197,0.4601226993865031,0.0
1124053,송파구,거여1동,47.0,46.1,48.0,0.7108108108108109,0.3333333333333333,0.4188963210702341,0.5,0.3333333333333333,0.21212121212121213,0.1,0.07228915662650602,0.9015151515151514,0.7272727272727272,0.7931034482758621,0.31666666666666643,0.17475728155339798,0.15384615384615374,0.0,0.03345724907063197,0.4601226993865031,0.0
1124054,송파구,거여2동,44.9,43.8,46.0,0.7108108108108109,0.3333333333333333,0.4188963210702341,0.5,0.3333333333333333,0.21212121212121213,0.1,0.07228915662650602,0.9015151515151514,0.7272727272727272,0.7931034482758621,0.31666666666666643,0.17475728155339798,0.15384615384615374,0.0,0.03345724907063197,0.4601226993865031,0.0
1124055,송파구,마천1동,48.9,47.9,50.0,0.7108108108108109,0.3333333333333333,0.4188963210702341,0.5,0.3333333333333333,0.21212121212121213,0.1,0.07228915662650602,0.9015151515151514,0.7272727272727272,0.7931034482758621,0.31666666666666643,0.17475728155339798,0.15384615384615374,0.0,0.03345724907063197,0.4601226993865031,0.0
1124056,송파구,마천2동,49.6,48.3,51.0,0.7108108108108109,0.3333333333333333,0.4188963210702341,0.5,0.3333333333333333,0.21212121212121213,0.1,0.07228915662650602,0.9015151515151514,0.7272727272727272,0.7931034482758621,0.31666666666666643,0.17475728155339798,0.15384615384615374,0.0,0.03345724907063197,0.4601226993865031,0.0
1124057,송파구,방이1동,43.4,42.8,43.9,0.7108108108108109,0.3333333333333333,0.4188963210702341,0.5,0.3333333333333333,0.21212121212121213,0.1,0.07228915662650602,0.9015151515151514,0.7272727272727272,0.7931034482758621,0.31666666666666643,0.17475728155339798,0.15384615384615374,0.0,0.03345724907063197,0.4601226993865031,0.0
1124058,송파구,방이2동,42.6,42.6,42.6,0.7108108108108109,0.3333333333333333,0.4188963210702341,0.5,0.3333333333333333,0.21212121212121213,0.1,0.07228915662650602,0.9015151515151514,0.7272727272727272,0.7931034482758621,0.31666666666666643,0.17475728155339798,0.15384615384615374,0.0,0.03345724907063197,0.4601226993865031,0.0
1124059,송파구,오륜동,43.5,42.6,44.3,0.7108108108108109,0.3333333333333333,0.4188963210702341,0.5,0.3333333333333333,0.21212121212121213,0.1,0.07228915662650602,0.9015151515151514,0.7272727272727272,0.7931034482758621,0.31666666666666643,0.17475728155339798,0.15384615384615374,0.0,0.03345724907063197,0.4601226993865031,0.0
1124060,송파구,오금동,45.3,44.1,46.4,0.7108108108108109,0.3333333333333333,0.4188963210702341,0.5,0.3333333333333333,0.21212121212121213,0.1,0.07228915662650602,0.9015151515151514,0.7272727272727272,0.7931034482758621,0.31666666666666643,0.17475728155339798,0.15384615384615374,0.0,0.03345724907063197,0.4601226993865031,0.0
1124061,송파구,송파1동,43.3,43.0,43.6,0.7108108108108109,0.3333333333333333,0.4188963210702341,0.5,0.3333333333333333,0.21212121212121213,0.1,0.07228915662650602,0.9015151515151514,0.7272727272727272,0.7931034482758621,0.31666666666666643,0.17475728155339798,0.15384615384615374,0.0,0.03345724907063197,0.4601226993865031,0.0
